"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Ecuador","ECU","Population, male","SP.POP.TOTL.MA.IN","2289142","2355254","2424067","2495591","2569941","2647162","2727269","2810155","2895717","2983787","3074155","3166742","3261439","3358099","3456528","3556589","3658213","3761471","3866418","3973048","4081849","4192665","4305172","4420086","4537678","4656325","4774182","4891158","5007131","5122766","5238654","5352836","5466469","5578274","5686942","5795705","5905520","6015260","6125003","6234605","6343673","6454328","6567993","6684584","6802233","6920222","7039369","7159809","7282106","7406566","7531114","7655261","7777938","7895413","8009667","8125597","8245438","8372918","8517638","8661859","8760001","8821568","8888825","8964951","9041130",
"Egypt, Arab Rep.","EGY","Population, male","SP.POP.TOTL.MA.IN","13504180","13853135","14220831","14598309","14981791","15366488","15753275","16144385","16541873","16945561","17348705","17751707","18164052","18585445","19020289","19477457","19943822","20428642","20944583","21483962","22062069","22673949","23318736","24024135","24771618","25532017","26285933","27043653","27828723","28620102","29520810","30389046","31141752","31886163","32588228","33286910","33987598","34700136","35475003","36286980","37085728","37884068","38686754","39500066","40316294","41129624","41923213","42696483","43472207","44273478","45104003","46048544","47092941","48189501","49290447","50313586","51327304","52358181","53361197","54305284","55193553","56026138","56867200","57830587","58840145",
"Euro area","EMU","Population, male","SP.POP.TOTL.MA.IN","129437408","130655422","131890156","133160414","134457019","135756474","136918624","137905659","138877585","139977410","140915080","141829671","142904884","143906338","144750902","145424618","146016095","146600127","147220262","147882572","148641474","149321558","149711025","150012528","150242970","150524596","150929581","151423105","152012821","152737487","153512820","154229576","154977739","155682247","156130365","156517742","156932789","157239932","157585436","158047040","158524026","159047721","159858157","160767361","161703427","162570572","163427854","164410420","165258729","165774913","166139137","165824646","166236754","166564359","166888274","167489349","168110826","168516519","169101883","169482669","169770888","169910895","170668667","171479162","171923448",
"Eritrea","ERI","Population, male","SP.POP.TOTL.MA.IN","478719","489903","501678","514000","526766","539947","552923","566265","580590","595361","610740","626759","642977","659370","675435","691019","708029","726620","745735","765449","786036","807558","829688","849311","866376","883740","901895","923183","947472","971313","993713","938654","879996","908808","937974","993900","1045729","1057713","1070295","1082137","1096507","1129129","1169826","1220522","1272943","1304622","1325992","1346093","1382874","1418871","1447728","1474564","1493996","1512848","1523405","1528741","1538459","1551427","1572793","1596682","1622323","1651920","1681805","1712524","1745353",
"Spain","ESP","Population, male","SP.POP.TOTL.MA.IN","14792387","14940966","15087876","15229030","15388865","15563871","15730988","15932482","16148416","16314544","16503691","16710903","16904004","17100133","17306865","17514220","17708547","17899371","18079900","18245822","18396597","18532478","18649108","18743719","18824503","18894144","18950019","18996896","19033389","19057046","19068162","19112534","19208104","19310711","19405118","19492226","19574129","19657311","19741103","19823612","19914814","20055119","20359794","20765105","21162239","21560238","21952718","22389510","22771075","22967319","23052739","23111849","23097470","22981049","22885319","22850656","22852275","22891035","22983377","23144075","23260046","23299623","23464878","23738661","23962115",
"Estonia","EST","Population, male","SP.POP.TOTL.MA.IN","534227","542520","552274","562344","572783","582895","591407","598157","605706","614101","622290","630941","639020","646120","652588","658561","664066","669710","674990","679368","684114","689564","695180","700619","705884","711273","717323","723874","729283","732996","734414","731179","716689","696948","681594","668943","658733","651239","645306","647717","651133","646694","642114","637689","633556","629786","626053","623129","621672","621055","620256","618933","617177","615557","614662","615923","617129","619342","623419","627522","629931","631170","640136","650852","652333",
"Ethiopia","ETH","Population, male","SP.POP.TOTL.MA.IN","10491324","10745347","11015348","11299740","11598451","11911358","12222850","12547078","12896201","13253698","13622111","13997912","14375586","14761778","15146698","15518758","15911881","16217471","16491740","16736586","16829297","17257966","17943256","18456011","18951059","19508029","20116078","20843357","21709888","22595268","23479140","24560664","25661676","26617513","27596139","28583540","29572110","30565784","31570831","32597938","33640493","34709319","35813001","36940037","38088967","39258804","40449674","41668087","42902254","44145198","45420163","46735469","48068955","49395636","50737959","52115091","53539959","55012166","56508480","58042248","59626568","61227788","62841233","64486162","66167290",
"European Union","EUU","Population, male","SP.POP.TOTL.MA.IN","172117941","173670932","175257631","176905381","178606435","180248625","181748966","183156415","184503490","185930919","187124975","188261239","189636026","190950317","192145928","193214059","194188117","195127942","196048942","196971075","197983397","198904880","199527498","200039683","200471274","200935532","201509341","202168922","202893716","203642498","204384104","205027975","205699894","206412710","206880596","207251959","207609165","207844421","208114658","208496906","208707965","208971050","209487363","210290332","211147257","211941842","212742588","213608292","214357977","214823401","215138281","214902086","215317090","215575081","215875345","216464248","217078926","217492918","218079512","218457616","218497253","218208221","218954695","219831592","220240584",
"Fragile and conflict affected situations","FCS","Population, male","SP.POP.TOTL.MA.IN","119610926","122229790","124965952","127796659","130704724","133679199","136713131","139831559","143051389","146345129","149689865","153165137","156765228","160524911","164452288","168462438","172570335","176711676","181147913","185793648","190242364","194494521","199015896","203795694","208747964","213861108","218962458","224158228","229416031","234912019","241441409","247152552","253576218","260572749","268100869","275443542","281900219","288256797","295031778","302072192","309095521","316364846","324314561","332593301","340833368","349285443","357916847","366544095","375582086","385115642","394848262","404730751","414857097","425094236","435114962","444900115","454899345","465117426","475454685","486060297","497003409","508021051","517855427","528239428","540582159",
"Finland","FIN","Population, male","SP.POP.TOTL.MA.IN","2133477","2150133","2166063","2182464","2195586","2203867","2212921","2225454","2235921","2234786","2224998","2226928","2241497","2255590","2268000","2277992","2284290","2291084","2298294","2303859","2310882","2321211","2335213","2350048","2363216","2373514","2381814","2389345","2397093","2407039","2419481","2434639","2450164","2463743","2475947","2486709","2496180","2504887","2512633","2519599","2526248","2533557","2541371","2549037","2557593","2567286","2578114","2590345","2604302","2618447","2631847","2645603","2659707","2673597","2686203","2696751","2706952","2715752","2721217","2725782","2731048","2738486","2746486","2759480","2786289",
"Fiji","FJI","Population, male","SP.POP.TOTL.MA.IN","209393","215423","221767","228433","235264","242243","249022","254975","260308","265476","270421","275108","279509","283589","287429","291305","295825","301802","308877","316211","323711","331413","339364","347551","355962","364497","372312","377961","382102","386020","389628","392910","395867","398464","400747","402823","405431","409746","415006","419993","424726","429254","433658","437966","442227","446449","450646","454597","457183","458461","459388","460003","460246","460254","460158","459885","459495","458613","457086","455233","454673","455108","456267","458652","460973",
"France","FRA","Population, male","SP.POP.TOTL.MA.IN","23024156","23283662","23537981","23787597","24048269","24284590","24499480","24702667","24902003","25134010","25399027","25667346","25912355","26143967","26330065","26445856","26540050","26648174","26753231","26859129","26991439","27146248","27236268","27363172","27472413","27586490","27711841","27851277","28003598","28165411","28313899","28451028","28586255","28700381","28796037","28888377","28981750","29077043","29201902","29366133","29552867","29755132","29959666","30161243","30370620","30584787","30796512","30993290","31167182","31328695","31487956","31639565","31793390","31961757","32107190","32205870","32293424","32396242","32514459","32632722","32745186","32868819","32983228","33098317","33215814",
"Faroe Islands","FRO","Population, male","SP.POP.TOTL.MA.IN","17711","17959","18193","18440","18702","18984","19243","19440","19613","19779","19955","20177","20425","20674","20936","21199","21454","21689","21939","22218","22494","22769","23040","23300","23544","23829","24049","24338","24667","24978","24853","24670","24551","24086","23120","22538","22517","22799","23081","23331","23661","24136","24521","24904","25108","25110","25106","25122","25201","25334","25093","24888","24817","24846","24983","25247","25526","25886","26328","26772","27190","27591","27916","28155","28273",
"Micronesia, Fed. Sts.","FSM","Population, male","SP.POP.TOTL.MA.IN","21889","22669","23477","24244","24958","25704","26488","27281","28089","28933","29823","30685","31513","32370","33257","34082","34858","35675","36665","37827","39019","40226","41455","42705","43968","45251","46548","47857","49005","49980","50941","51894","52942","54081","55058","55569","55721","55801","55837","55873","56000","56172","56231","56159","55973","55697","55318","54846","54336","53804","53569","53645","53737","53846","53981","54135","54309","54507","54710","54888","55187","55517","55739","55975","56217",
"Gabon","GAB","Population, male","SP.POP.TOTL.MA.IN","248121","250934","253969","257223","260680","264363","268312","272514","276979","282388","288578","294738","300958","307400","314183","321371","329022","337144","345720","354729","364178","374120","384530","395377","406640","418288","430330","442791","455658","468835","482265","495949","509884","524055","538380","552900","567702","582848","598457","614596","631439","649099","667617","687084","707736","729918","753833","779523","806924","836247","867784","901448","936678","972535","1007653","1040772","1071513","1100240","1128011","1155601","1182718","1209288","1235742","1262242","1288745",
"United Kingdom","GBR","Population, male","SP.POP.TOTL.MA.IN","25312740","25534914","25789866","26012327","26197333","26373308","26523183","26668441","26797084","26908751","27025789","27157404","27263049","27323970","27352152","27360725","27358678","27346847","27345633","27373386","27407572","27411411","27395187","27431430","27498996","27548663","27597465","27667483","27599370","27525127","27606153","27686519","27796319","27899750","27973294","28058028","28143586","28227253","28320210","28428194","28548939","28682562","28826723","28981945","29166834","29386494","29624501","29881244","30143152","30395758","30663244","30931756","31173051","31402457","31660986","31919868","32205169","32400670","32572535","32757025","32829768","32961192","33275081","33718583","34087728",
"Georgia","GEO","Population, male","SP.POP.TOTL.MA.IN","1721350","1749600","1777405","1804915","1831723","1857041","1871874","1876411","1879786","1884060","1897857","1919921","1939637","1957090","1974578","1989804","2005045","2019805","2032728","2048676","2067653","2087184","2107538","2128490","2148786","2169841","2191428","2211876","2236117","2245285","2245710","2258737","2272605","2284494","2243073","2154846","2072896","2002572","1948958","1904321","1862171","1828622","1809763","1799828","1793895","1787123","1780844","1774947","1772832","1760927","1752219","1741929","1732660","1730852","1733308","1735901","1736728","1736703","1735795","1732608","1733482","1727156","1729714","1731528","1712513",
"Ghana","GHA","Population, male","SP.POP.TOTL.MA.IN","3558232","3652080","3728849","3807101","3887416","3971166","4057908","4147693","4240924","4340132","4451938","4575945","4707532","4844658","4986217","5131855","5281364","5436646","5598383","5765531","5935898","6109946","6291269","6479749","6646847","6791468","6942914","7104654","7278532","7464199","7659160","7857102","8057679","8262200","8462561","8660871","8862942","9075989","9300774","9531729","9776449","10044029","10328145","10614701","10903249","11196556","11495055","11798710","12105190","12414043","12722558","13034541","13355706","13683015","14011629","14339499","14670408","14996562","15311203","15621430","15934246","16247587","16560812","16877545","17194242",
"Gibraltar","GIB","Population, male","SP.POP.TOTL.MA.IN","10425","10475","10691","11041","11396","11751","12099","12445","12784","13103","13393","13601","13747","13880","13991","14092","14189","14276","14352","14423","14478","14513","14537","14545","14523","14479","14403","14306","14200","14071","13913","13767","13733","13788","13832","13862","13878","13887","13885","13872","13841","13773","13847","14085","14320","14555","14780","14992","15196","15406","15614","15818","16008","16192","16390","16579","16808","17092","17385","17690","18015","18345","18714","19145","19575",
"Guinea","GIN","Population, male","SP.POP.TOTL.MA.IN","1768009","1798537","1830056","1862611","1896270","1931101","1967264","2004695","2043217","2082267","2120596","2157488","2192979","2227566","2261383","2294267","2326626","2359179","2392990","2429448","2469827","2514789","2564770","2619314","2678617","2743715","2814634","2890892","2970971","3052300","3163024","3296054","3406629","3515791","3626240","3732637","3843863","3919270","3987589","4077151","4153561","4195316","4252148","4349627","4442860","4528891","4621488","4729733","4846819","4967855","5092882","5222338","5353654","5487720","5628060","5776303","5931410","6089984","6252164","6420519","6592746","6766588","6943315","7122533","7301267",
"Gambia, The","GMB","Population, male","SP.POP.TOTL.MA.IN","196857","202334","207986","213812","219807","225976","232295","238863","245733","252852","260212","267875","275891","284214","292553","300962","309838","319244","329169","339672","350836","362394","374616","387901","403059","420112","438154","457185","477238","498380","520620","543835","567138","588608","607811","626111","644393","662860","681628","700750","720159","739916","760096","780936","802707","825528","849637","874923","901053","927966","955722","984485","1014346","1044926","1075505","1105721","1135527","1164889","1193734","1222459","1251981","1282181","1312497","1343260","1374334",
"Guinea-Bissau","GNB","Population, male","SP.POP.TOTL.MA.IN","288960","291510","294799","296774","293029","285459","280640","280957","284825","285844","286555","286786","286312","288748","298473","316852","338009","361315","385744","399815","404514","410544","416762","423122","429613","436246","443014","449947","457118","464562","472089","482212","496729","513553","529874","543625","555307","566261","576981","587974","600123","613443","627531","642380","657878","674030","691044","709057","727785","747150","767354","788455","810363","832883","855698","878606","901568","924392","947166","970157","993130","1016116","1039679","1063795","1088010",
"Equatorial Guinea","GNQ","Population, male","SP.POP.TOTL.MA.IN","131273","133722","136350","139147","142112","145253","148577","152075","155590","157239","156084","153487","150257","146754","143160","139643","136116","133912","133768","135296","139521","146669","155935","166393","177101","187406","196988","205887","214470","223075","231847","240872","250209","259904","270401","281822","293898","306663","320109","334217","353644","378509","404314","431163","459198","485230","509389","535116","562446","591288","621391","650850","679392","708474","737972","767639","797279","826744","855950","884853","908719","929916","952684","974877","997748",
"Greece","GRC","Population, male","SP.POP.TOTL.MA.IN","4087727","4120728","4144988","4160205","4174921","4180201","4188395","4225923","4255746","4269662","4292741","4317033","4345475","4366434","4383611","4426338","4494415","4551111","4612270","4687145","4743858","4781498","4811186","4839431","4863905","4883061","4899396","4915719","4933354","4958886","5011004","5072080","5113295","5145916","5174107","5200754","5225628","5253263","5284744","5307303","5330938","5360299","5380500","5392323","5403568","5416611","5427832","5434398","5440579","5446255","5444087","5424661","5379893","5323415","5273218","5227181","5202575","5194991","5188126","5190618","5184802","5120513","5054741","5039990","5032215",
"Grenada","GRD","Population, male","SP.POP.TOTL.MA.IN","44938","45693","46329","46852","47245","47504","47629","47690","47779","47916","48082","48232","48304","48284","48197","48039","47813","47538","47213","46836","46389","46191","46423","46762","47082","47443","47849","48289","48752","49231","49727","50222","50708","51181","51644","52099","52546","52992","53447","53905","54367","54701","54936","55209","55468","55708","55937","56158","56370","56575","56765","56989","57280","57584","57853","58064","58223","58306","58360","58428","58550","58680","58735","58747","58755",
"Greenland","GRL","Population, male","SP.POP.TOTL.MA.IN","16625","17300","18042","18835","19516","20394","21149","21996","22899","23810","24728","25237","25878","26310","26635","26751","26865","26755","26688","26939","27279","27712","27985","28319","28662","28938","29087","29398","29754","29985","30078","29929","29727","29589","29666","29795","29869","29941","30010","30021","30059","30138","30227","30282","30329","30318","30210","30069","29931","29911","29996","30163","30104","29897","29761","29648","29681","29667","29581","29675","29736","29873","29859","29936","29884",
"Guatemala","GTM","Population, male","SP.POP.TOTL.MA.IN","2080939","2143254","2207132","2271997","2337969","2405310","2473543","2542570","2612072","2681131","2750460","2820532","2892206","2966137","3040337","3113317","3179840","3249031","3327807","3409103","3492360","3575515","3648655","3730047","3832400","3939220","4046786","4156371","4271047","4389664","4511154","4631394","4752217","4877025","5005961","5138533","5271731","5406758","5545359","5685292","5820706","5954733","6091516","6228913","6367420","6505127","6642626","6782532","6921788","7059729","7199889","7344104","7491294","7638663","7784435","7928078","8075277","8223378","8361649","8489879","8613994","8730024","8851469","8989012","9129191",
"Guam","GUM","Population, male","SP.POP.TOTL.MA.IN","41235","42006","42868","43743","44616","45489","46355","47193","48010","48815","49626","50437","51249","52054","52852","53629","54390","55157","55929","56727","57856","59383","61003","62613","64210","65815","67437","69076","70724","72402","73823","74834","75713","76559","77372","78158","78906","79634","80361","81100","81831","82471","83010","83469","83846","84158","84425","84665","84900","85155","85319","85285","85121","84875","84570","84211","83804","83358","82877","82361","82450","83157","83818","84416","84988",
"Guyana","GUY","Population, male","SP.POP.TOTL.MA.IN","284021","291027","297369","303806","310318","316905","323573","330314","337149","344084","350209","355099","359519","363699","367557","371108","374409","377471","380296","382890","384901","385810","385803","385250","384209","382743","380902","378760","376377","373810","371135","369981","371132","372998","374776","376409","377822","379010","380003","380786","381302","381460","381363","381135","380570","379600","378445","377226","375935","374507","372894","371129","370380","370840","371563","372499","373583","374785","387895","396396","394212","397649","400371","402457","404584",
"High income","HIC","Population, male","SP.POP.TOTL.MA.IN","437934341","443643388","449459819","455231797","461010893","466595127","471518943","476164455","480763005","485550643","490228326","495779265","500870156","505760838","510504019","515035865","519369518","523724218","528129852","532716158","537241288","541734887","545890356","549846231","553711969","557596703","561623481","565840231","569976577","574213312","578184725","582606210","587166977","591407605","595269044","598949536","602627360","606158920","609677202","613108057","616438280","619817432","623228806","626724582","630379500","634016167","638212679","643035017","647980588","652208640","655165446","658587140","663149832","667641565","671796100","676768270","681556416","684792747","687122683","689458032","691329234","690239355","693874551","699182262","703942105",
"Hong Kong SAR, China","HKG","Population, male","SP.POP.TOTL.MA.IN","1577514","1614170","1684899","1744523","1781388","1824131","1839004","1889379","1931562","1955028","1996623","2039674","2085155","2151912","2227985","2277577","2313283","2353659","2403271","2545060","2620830","2683495","2717780","2750264","2768919","2790737","2818691","2841539","2860168","2884657","2888641","2904613","2917786","2956779","3012880","3062339","3189528","3203041","3216524","3234014","3249168","3258683","3257289","3234544","3243141","3240425","3245071","3258421","3264042","3256807","3265875","3273857","3298900","3301809","3313807","3330366","3340644","3359275","3380177","3398163","3378536","3344789","3313817","3397208","3389467",
"Honduras","HND","Population, male","SP.POP.TOTL.MA.IN","1034018","1063758","1094346","1125941","1158628","1192461","1227427","1263561","1300985","1339870","1380387","1422665","1466750","1511915","1556155","1602939","1654165","1706912","1761020","1816509","1873338","1931330","1990395","2050561","2111789","2174024","2237384","2302003","2367946","2435578","2505574","2577990","2652603","2729268","2808025","2889069","2972172","3056922","3140044","3224721","3314481","3405758","3497403","3588783","3679828","3770614","3860878","3950828","4040649","4130183","4218983","4307051","4394931","4482584","4569951","4657396","4745211","4833257","4921871","5011091","5098597","5182860","5269396","5359700","5449967",
"Heavily indebted poor countries (HIPC)","HPC","Population, male","SP.POP.TOTL.MA.IN","81032510","82987912","85026786","87150813","89365138","91676792","94074936","96585819","99219964","101940109","104749488","107629640","110528574","113580695","116780267","120024256","123329682","126614187","130196461","133926839","137154116","140160883","143700788","147723384","151843309","156046012","160336278","164841928","169534151","174360143","179134118","184000084","189548945","195753080","201817731","207749439","213789160","219833135","226186739","232731305","239178287","245782197","253018262","260574978","268098032","275880060","283935973","291934436","300250017","308931726","317684960","326746880","336128343","345824327","355953990","366322602","377109159","388398671","399731510","411036646","422555426","434112181","445558037","457217450","469250131",
"Croatia","HRV","Population, male","SP.POP.TOTL.MA.IN","1941758","1957415","1975720","1994127","2011521","2029105","2047253","2064247","2080398","2095672","2108360","2119968","2131261","2142378","2153621","2164951","2177039","2188684","2199088","2205603","2207986","2213745","2224795","2236240","2246545","2256476","2266087","2275055","2282801","2289027","2294230","2251550","2196628","2208273","2233109","2217917","2188073","2177921","2177102","2168295","2147477","2066635","2067466","2067465","2068175","2071227","2072489","2073182","2073646","2072143","2067929","2060392","2050452","2038201","2023071","1999343","1977881","1946474","1921132","1902289","1885719","1869094","1858433","1861175","1865047",
"Haiti","HTI","Population, male","SP.POP.TOTL.MA.IN","1877608","1912217","1947855","1983302","2019659","2058030","2097119","2137051","2178035","2219932","2262793","2306912","2352364","2399012","2446843","2495879","2546008","2597180","2649456","2702805","2757239","2812961","2870278","2929131","2989495","3051609","3115514","3181291","3249095","3318674","3389807","3461507","3533218","3605167","3677107","3749570","3822965","3897093","3971640","4046677","4122966","4199617","4275598","4351730","4426857","4502158","4579322","4657051","4735059","4813660","4872137","4929397","5005575","5080399","5154152","5227303","5299422","5370387","5440296","5509161","5575373","5637251","5698315","5761588","5825356",
"Hungary","HUN","Population, male","SP.POP.TOTL.MA.IN","4816020","4840681","4859256","4874667","4892359","4908141","4925429","4946395","4967631","4990568","5010555","5024365","5039005","5055332","5078119","5108487","5137183","5161172","5178529","5187309","5188326","5184404","5177083","5164759","5149053","5134464","5121175","5108347","5096500","5036912","4980697","4976423","4970002","4959193","4947215","4935489","4923029","4909694","4894343","4876531","4860364","4846265","4829677","4813185","4800502","4790720","4783639","4776001","4767829","4761394","4751721","4740985","4720179","4699778","4683419","4670403","4655886","4644103","4640937","4641871","4634198","4617399","4607131","4602840","4591619",
"IBRD only","IBD","Population, male","SP.POP.TOTL.MA.IN","951419298","962424398","979976583","1003571651","1027204302","1050934531","1075904125","1100862332","1126467999","1152961434","1180168022","1207946881","1235267383","1262540770","1289497579","1315937326","1342002596","1367654600","1393403886","1419513210","1446077706","1473573653","1502492310","1531542043","1560568913","1590036713","1620283043","1651393600","1682710936","1713770494","1744364395","1773947359","1802133053","1829883628","1856750314","1882881795","1909015149","1935211945","1961600594","1987331614","2012198538","2036518000","2060008974","2083246451","2106706224","2129886914","2152673374","2174635206","2197003138","2219865818","2242953707","2266631999","2291523892","2316839021","2341469227","2364755594","2387187712","2409194273","2429668937","2448535645","2464689981","2477463985","2488382487","2499785106","2512628870",
"IDA & IBRD total","IBT","Population, male","SP.POP.TOTL.MA.IN","1151134024","1167118294","1189859337","1218840331","1248063177","1277601768","1308566186","1339734401","1371784295","1404888749","1438763030","1472836611","1506661091","1541265344","1575824251","1609846792","1643551147","1676990722","1710950672","1745821620","1781404922","1818008687","1856500343","1895484874","1934464220","1974198676","2015018029","2056972409","2099274229","2141524945","2183529199","2224720785","2265001079","2305435701","2345074227","2384125183","2423435584","2462851599","2502620963","2541802256","2580330433","2618588049","2656291077","2693986071","2732048179","2770082396","2808230983","2846054628","2884481315","2923559580","2963130803","3003507996","3044947417","3086002590","3126766514","3166512134","3206018823","3245800193","3284715980","3322678870","3358426288","3390821807","3421079407","3452009311","3484818565",
"IDA total","IDA","Population, male","SP.POP.TOTL.MA.IN","199714726","204693896","209882754","215268680","220858875","226667237","232662061","238872069","245316296","251927315","258595008","264889730","271393708","278724574","286326672","293909466","301548551","309336122","317546786","326308410","335327216","344435034","354008033","363942831","373895307","384161963","394734986","405578809","416563293","427754451","439164804","450773426","462868026","475552073","488323913","501243388","514420435","527639654","541020369","554470642","568131895","582070049","596282103","610739620","625341955","640195482","655557609","671419422","687478177","703693762","720177096","736875997","753423525","769163569","785297287","801756540","818831111","836605920","855047043","874143225","893736307","913357822","932696920","952224205","972189695",
"IDA blend","IDB","Population, male","SP.POP.TOTL.MA.IN","63650063","65256969","66947002","68721837","70560166","72466386","74437441","76456681","78541179","80708574","82955733","85215036","87548772","90040379","92649869","95384604","98224565","101181969","104237987","107497863","111375644","115472557","119317791","122986938","126622795","130523302","134628350","138841719","143150958","147540699","152114897","156753386","161141903","165507920","170016739","174672836","179503364","184384873","189346650","194304795","199461717","204835928","210020272","215255553","220760702","226328122","232013576","238103097","244422230","250830398","257332639","263704994","269787062","275601745","281371415","287080665","292727073","298540778","304535123","310597921","316820700","323160322","329390394","335448047","341605832",
"Indonesia","IDN","Population, male","SP.POP.TOTL.MA.IN","43939874","45189003","46484927","47827938","49223079","50444817","51607147","52964940","54420114","55947253","57510442","59090198","60684033","62299588","63924399","65560534","67218065","68893198","70603014","72349121","74117302","75899883","77702584","79523573","81347153","83134840","84858256","86549349","88246621","89946117","91622838","93292561","94958354","96620149","98294845","99977595","101670730","103370364","105047419","106665884","108231132","109769637","111293086","112801378","114274956","115781562","117351072","118935475","120510948","122069952","123641334","125252610","126895691","128498712","130033009","131513675","132946469","134322386","135637607","136916976","138073249","139031455","140070494","141255767","142407916",
"IDA only","IDX","Population, male","SP.POP.TOTL.MA.IN","136064663","139436927","142935752","146546843","150298709","154200851","158224620","162415388","166775117","171218741","175639275","179674694","183844936","188684195","193676803","198524862","203323986","208154153","213308799","218810547","223951572","228962477","234690242","240955893","247272512","253638661","260106636","266737090","273412335","280213752","287049907","294020040","301726123","310044153","318307174","326570552","334917071","343254781","351673719","360165847","368670178","377234121","386261831","395484067","404581253","413867360","423544033","433316325","443055947","452863364","462844457","473171003","483636463","493561824","503925872","514675875","526104038","538065142","550511920","563545304","576915607","590197500","603306526","616776158","630583863",
"Isle of Man","IMN","Population, male","SP.POP.TOTL.MA.IN","22422","22201","22316","22549","22793","23042","23401","23939","24568","25220","25900","26524","27036","27518","27999","28445","28865","29286","29713","30149","30584","30861","30925","30916","30880","30829","30995","31474","32045","32630","33221","33694","33995","34237","34462","34663","34973","35442","35959","36480","36982","37460","37916","38354","38782","39204","39653","40135","40630","41133","41644","41911","41867","41746","41603","41435","41364","41447","41553","41623","41663","41670","41675","41683","41666",
"India","IND","Population, male","SP.POP.TOTL.MA.IN","224897757","230447351","236052757","241706792","247474637","253125773","258584128","264192794","269901346","275587949","281785460","288103704","294479844","301203106","308263236","315742315","323365537","331199079","338986458","347037463","355512997","364008144","372616981","381443629","390484745","399637317","408901979","418255953","427700589","437296119","447021579","456777992","466595269","476502894","486384161","496344700","506445347","516593457","526785191","536988171","547253435","557645082","567873061","577829968","587765466","597426194","606815988","615977570","624851766","633887204","643098086","652190185","661116668","669876677","678266110","686298737","694417091","702419096","710050159","717351064","724175467","729924103","735531456","741883264","748323427",
"Not classified","INX","Population, male","SP.POP.TOTL.MA.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Population, male","SP.POP.TOTL.MA.IN","1422736","1419517","1425027","1433339","1440314","1445543","1451147","1458026","1464644","1473007","1485012","1502441","1525272","1550263","1576461","1602951","1627645","1650158","1673732","1695546","1714374","1733501","1748329","1759101","1768560","1769741","1768456","1765878","1754762","1745577","1747103","1757875","1770265","1778951","1784698","1792496","1806276","1824445","1843977","1865458","1891482","1922138","1954025","1986486","2026280","2076244","2137735","2199990","2240067","2256974","2264961","2271546","2278841","2289733","2304647","2326161","2357196","2389860","2425590","2464674","2495456","2530300","2580981","2627523","2663329",
"Iran, Islamic Rep.","IRN","Population, male","SP.POP.TOTL.MA.IN","10995827","11337834","11694090","12065441","12453651","12857831","13271398","13687787","14107832","14539697","14988548","15443904","15903518","16376573","16868835","17394169","17933976","18500096","19116645","19782459","20500870","21670995","22902221","23770339","24639166","25524040","26438828","27347327","28192384","28988495","29816071","30609768","31197796","31295335","31341458","31671315","31995995","32360978","32786211","33234113","33706229","34208673","34476479","34911989","35781536","36700649","37608743","38249028","38662380","39096913","39544583","39994680","40473403","40996659","41544502","42109315","42709537","43317276","43861795","44325041","44652495","45006117","45529146","46061602","46532057",
"Iraq","IRQ","Population, male","SP.POP.TOTL.MA.IN","3463683","3548030","3656166","3782027","3911898","4047523","4188521","4335428","4489038","4648994","4816418","4989522","5168120","5353539","5540668","5728483","5921993","6126690","6340820","6552341","6762072","6961005","7149632","7355685","7579568","7755292","7940038","8152782","8334007","8551414","8656059","8747710","9015455","9466935","9937880","10285101","10628020","10971885","11332870","11716556","12118085","12512852","12925102","13328425","13717305","14131738","14234444","14118889","14408603","14958799","15462978","16032329","16790539","17615561","18261598","18779104","19240431","19678203","20151959","20627994","21099579","21586716","22099525","22614115","23111081",
"Iceland","ISL","Population, male","SP.POP.TOTL.MA.IN","88684","90475","92187","93864","95529","97181","98858","100503","101918","102848","103366","104176","105683","107288","108764","110135","111179","111950","112767","113844","115012","116295","117847","119327","120501","121376","122183","123501","125457","126996","127926","129331","130915","132265","133409","134090","134760","135824","137253","138866","140756","142648","143854","144831","146273","149171","153871","158719","161466","160984","159954","160164","160876","162352","164227","166203","169122","174287","180191","184861","187964","190908","195691","201394","207180",
"Israel","ISR","Population, male","SP.POP.TOTL.MA.IN","1063395","1097482","1150699","1193257","1240851","1284261","1316468","1373628","1401713","1437687","1485056","1531375","1570031","1634642","1683993","1722823","1761588","1801425","1839785","1887644","1933560","1972642","2010308","2047596","2074917","2111528","2143679","2177830","2213670","2250945","2318259","2456240","2538677","2604731","2670547","2739300","2809925","2881297","2948194","3024108","3104888","3178942","3243836","3303543","3363254","3423826","3485640","3548837","3613267","3701984","3771588","3843181","3916145","3991328","4070178","4153033","4237046","4322447","4409260","4497069","4579637","4659605","4754582","4901890","4966369",
